13 47 3 8 74 81 3 18 70 23 
49 68 36 81 83 97 50 95 30 5 
38 35 88 2 30 55 95 82 29 77 
0 74 2 9 48 64 36 9 14 43 
49 18 11 21 21 92 58 28 4 2 
37 17 5 61 99 2 98 73 7 32 
59 33 84 93 88 92 36 48 51 25 
69 90 38 35 41 46 51 36 99 83 
50 13 4 97 19 5 1 61 13 19 
16 35 78 62 22 90 49 14 39 61 
5 24 60 1 27 93 78 41 37 76 
79 84 77 46 88 67 0 5 89 59 
58 18 96 55 10 84 24 4 98 36 
15 10 11 94 90 42 28 24 99 46 
3 6 64 55 77 88 61 37 96 44 
43 81 46 13 79 91 78 70 1 33 
7 18 80 2 93 58 10 4 72 79 
62 9 87 72 0 24 49 72 55 37 
63 42 74 44 8 100 24 10 32 82 
91 92 43 92 22 52 58 19 87 56 
66 74 48 75 93 97 73 66 67 13 
88 25 46 99 24 96 0 4 28 7 
4 62 9 69 3 43 77 99 69 87 
87 40 35 27 88 41 65 52 29 0 
68 30 21 95 98 60 76 59 34 52 
8 56 69 100 67 17 48 75 90 35 
72 46 3 44 82 86 23 58 49 91 
28 65 77 21 92 51 42 10 20 74 
59 52 90 55 53 22 97 2 70 17 
70 95 82 34 11 45 58 51 58 74 
15 55 37 87 56 32 64 82 28 81 
70 83 40 13 96 41 40 89 13 67 
11 98 25 61 25 9 63 39 60 41 
50 45 60 82 72 50 83 21 3 55 
77 26 89 18 7 3 9 51 70 54 
23 85 19 62 24 87 1 34 4 9 
78 43 7 24 92 98 73 89 59 29 
79 64 61 49 36 74 67 18 74 82 
76 64 57 48 14 22 91 5 31 7 
7 56 61 44 64 61 0 11 17 83 
43 99 73 26 53 45 93 86 42 6 
0 76 51 55 82 35 40 6 24 63 
64 9 33 12 36 59 40 73 93 76 
64 82 44 31 85 85 65 44 48 10 
20 36 49 26 54 89 2 45 58 0 
52 12 61 64 15 28 81 18 77 56 
26 27 49 60 48 52 44 6 62 58 
1 78 22 98 78 35 72 74 46 49 
90 16 33 91 9 36 31 100 28 49 
23 35 14 49 3 16 1 45 23 53 
99 99 87 94 86 27 20 46 60 23 
34 65 6 9 26 0 96 79 30 69 
37 10 92 12 11 59 26 88 41 66 
68 42 20 62 78 7 12 33 54 10 
42 61 54 0 13 77 49 100 60 82 
52 95 82 70 26 5 0 69 20 23 
97 69 11 70 90 34 83 15 23 49 
25 78 71 17 100 37 19 1 66 27 
96 28 17 70 71 58 11 67 43 12 
44 6 58 94 75 17 21 49 35 19 
73 8 30 63 95 10 32 87 67 52 
23 45 55 93 85 0 3 71 18 87 
17 40 62 96 34 23 48 43 28 8 
3 21 63 61 20 50 16 100 38 23 
18 96 1 56 85 71 78 86 42 64 
37 57 9 70 6 36 53 67 27 21 
78 18 50 27 100 68 20 60 82 74 
64 24 98 28 97 72 30 22 84 84 
23 7 13 74 37 69 1 21 79 93 
8 17 53 76 93 46 23 19 99 98 
75 64 55 10 48 46 74 86 22 27 
89 53 47 98 40 33 97 83 53 60 
-1
